,2020-02-11,2020-02-12
ATVI,61.189998626708984,62.79999923706055
ADBE,369.2799987792969,374.2900085449219
AMD,53.79999923706055,53.88999938964844
ALXN,102.45999908447266,105.19000244140625
ALGN,264.4599914550781,273.6099853515625
GOOGL,1510.06005859375,1518.6300048828125
GOOG,1508.7900390625,1518.27001953125
AMZN,2150.800048828125,2160.0
AAL,29.84000015258789,30.469999313354492
AMGN,227.34619140625,225.39999389648438
ADI,116.87999725341797,118.80999755859375
AAPL,319.6099853515625,327.20001220703125
AMAT,64.2475357055664,65.1646499633789
ASML,316.010009765625,317.44000244140625
ADSK,205.8000030517578,207.11000061035156
ADP,177.97000122070312,178.02999877929688
BIDU,133.99000549316406,137.49000549316406
BIIB,332.2900085449219,331.760009765625
BMRN,88.12000274658203,89.1500015258789
BKNG,1909.300048828125,1960.3599853515625
AVGO,320.1600036621094,324.70001220703125
CDNS,75.70999908447266,77.0999984741211
CERN,80.2300033569336,76.68000030517578
CHTR,530.9400024414062,534.0
CHKP,117.87999725341797,119.27999877929688
CTAS,293.489990234375,297.1199951171875
CSCO,49.130001068115234,49.93000030517578
CTXS,121.62000274658203,122.04000091552734
CTSH,68.98129272460938,69.2105712890625
CMCSA,44.790000915527344,46.02000045776367
COST,310.67999267578125,315.1199951171875
CSX,78.5199966430664,79.48999786376953
DLTR,88.19000244140625,89.5199966430664
EBAY,36.439998626708984,37.150001525878906
EA,109.04000091552734,109.72000122070312
EXPE,109.19999694824219,110.97000122070312
FB,207.19000244140625,210.75999450683594
FAST,37.81999969482422,38.34000015258789
FISV,120.70999908447266,119.13999938964844
FOXA,37.130001068115234,37.66999816894531
FOX,36.61000061035156,37.15999984741211
GILD,67.76000213623047,66.94999694824219
HAS,100.0999984741211,98.19999694824219
HSIC,70.88999938964844,71.86000061035156
IDXX,283.3800048828125,283.2799987792969
ILMN,296.0,293.2799987792969
INCY,76.13999938964844,75.83000183105469
INTC,67.41000366210938,67.45999908447266
INTU,296.9200134277344,298.6499938964844
ISRG,587.8200073242188,592.8400268554688
JBHT,112.41000366210938,113.95999908447266
JD,40.779998779296875,41.63999938964844
KLAC,172.189697265625,175.1053009033203
LRCX,325.6700134277344,334.6199951171875
LBTYK,20.290000915527344,20.459999084472656
LBTYA,21.329999923706055,21.440000534057617
LULU,251.5800018310547,253.94000244140625
MAR,147.19000244140625,150.77999877929688
MXIM,63.70000076293945,64.47000122070312
MELI,651.6199951171875,699.8200073242188
MCHP,108.49620819091797,109.3333969116211
MU,57.25,59.27000045776367
MSFT,183.93760681152344,184.2068634033203
MDLZ,58.869998931884766,58.95000076293945
MNST,69.1500015258789,69.25
MYL,22.350000381469727,22.15999984741211
NTAP,59.08000183105469,60.81999969482422
NTES,350.9700012207031,348.30999755859375
NFLX,373.69000244140625,380.010009765625
NVDA,267.8900146484375,272.5400085449219
NXPI,135.52000427246094,137.8300018310547
ORLY,389.760009765625,392.4700012207031
PCAR,75.66000366210938,76.55999755859375
PAYX,87.80000305175781,87.97000122070312
PYPL,118.83999633789062,118.55999755859375
PEP,146.0800018310547,146.0800018310547
QCOM,90.0,91.72000122070312
REGN,396.75,406.29998779296875
ROST,119.69999694824219,120.05999755859375
SIRI,7.159999847412109,7.210000038146973
SWKS,119.16999816894531,123.05000305175781
SBUX,87.51000213623047,88.56999969482422
SNPS,158.22000122070312,159.52000427246094
TTWO,112.38999938964844,114.0199966430664
TSLA,774.3800048828125,767.2899780273438
TXN,130.6999969482422,132.4199981689453
KHC,30.010000228881836,30.040000915527344
TMUS,94.48999786376953,95.66999816894531
ULTA,293.7799987792969,299.29998779296875
UAL,80.52999877929688,82.19999694824219
VRSN,204.4600067138672,208.2899932861328
VRSK,167.88999938964844,169.27999877929688
VRTX,247.80999755859375,242.2100067138672
WBA,52.53078842163086,53.997962951660156
WDC,68.91999816894531,70.3499984741211
WLTW,212.97999572753906,212.72000122070312
WDAY,193.07000732421875,194.39999389648438
WYNN,131.99000549316406,136.82000732421875
XEL,68.95999908447266,69.02999877929688
XLNX,90.29000091552734,91.16999816894531
