,2020-02-11,2020-02-12
ATVI,5350300,5244200
ADBE,2004700,2355600
AMD,74719100,45994900
ALXN,1409100,3422000
ALGN,591200,863000
GOOGL,1742600,1552100
GOOG,1344600,1167600
AMZN,5746000,3334300
AAL,8977700,9315400
AMGN,1934500,2501300
ADI,2765500,1856000
AAPL,23580800,28432600
AMAT,6203800,11592200
ASML,789900,656100
ADSK,1289700,1177200
ADP,1584200,2622500
BIDU,3546100,3636600
BIIB,1806200,1603000
BMRN,781400,848400
BKNG,408900,473200
AVGO,1552700,1531000
CDNS,1419600,1932800
CERN,3099000,2907100
CHTR,1098100,891300
CHKP,807100,815900
CTAS,263100,417100
CSCO,23168300,31686200
CTXS,1006300,1036000
CTSH,3036000,2629700
CMCSA,11075700,23638000
COST,2047500,1384600
CSX,2978400,2761600
DLTR,1708200,1370600
EBAY,9380300,11499100
EA,1195300,1567200
EXPE,2065300,2656800
FB,25030800,13813700
FAST,4432200,2477500
FISV,3231200,4050300
FOXA,2550300,3303300
FOX,926900,907700
GILD,12858700,13927100
HAS,4045500,2776300
HSIC,497600,830400
IDXX,293100,314500
ILMN,3528500,1871800
INCY,985500,2120000
INTC,17975600,15586600
INTU,903500,792300
ISRG,431000,466000
JBHT,435500,451600
JD,11347100,15260500
KLAC,1269000,957700
LRCX,1520700,1687200
LBTYK,3449900,1863200
LBTYA,1478800,1138000
LULU,1014700,658100
MAR,1461300,1583400
MXIM,1006500,1678100
MELI,1452100,926500
MCHP,2875600,2002500
MU,26776900,47180800
MSFT,53159900,47062900
MDLZ,4446600,7041400
MNST,2160600,1562900
MYL,5104600,6510000
NTAP,2268900,4480500
NTES,503700,631200
NFLX,4772900,4624800
NVDA,15963900,9366100
NXPI,2407000,2592900
ORLY,1255400,840800
PCAR,1936000,1861200
PAYX,847300,1019800
PYPL,4677400,6482300
PEP,3870500,4217400
QCOM,9452800,9824200
REGN,992800,1076200
ROST,1260900,1388800
SIRI,16604500,14613300
SWKS,1694700,2002300
SBUX,5098500,7747800
SNPS,837300,682600
TTWO,2411100,3782300
TSLA,11697500,12022500
TXN,2986800,2839100
KHC,7123300,8096300
TMUS,25874400,8915500
ULTA,687900,920500
UAL,2763600,2907100
VRSN,801600,567700
VRSK,539500,515800
VRTX,2280000,1805700
WBA,4054100,5362500
WDC,3871000,3981700
WLTW,594700,505200
WDAY,958700,1447000
WYNN,2948400,3640200
XEL,2176200,2032500
XLNX,4774000,4202400
