symbol,change,name,price,volume,high,low
ATVI,-0.97,"ActivisionBlizzard,Inc",63.38,3476700,63.07,63.93
ADBE,-1.59,AdobeInc,372.95,2742800,368.75,378.34
AMD,-6.97,"AdvancedMicroDevices,Inc",53.28,88445100,52.89,56.8
ALXN,0.59,"AlexionPharmaceuticals,Inc",103.14,1728500,101.52,103.21
ALGN,-4.49,"AlignTechnology,Inc",260.26,791700,258.5,270.8
GOOGL,-2.21,AlphabetInc,1483.46,2126000,1478.49,1510.95
GOOG,-2.18,AlphabetInc,1485.11,1731700,1480.4399,1512.215
AMZN,-2.65,"Amazon.com,Inc",2095.97,4646300,2088.0,2144.55
AAL,-2.42,AmericanAirlinesGroupInc,27.82,11253600,27.17,28.3
AMGN,0.29,AmgenInc,222.79,2047500,220.99,223.8
ADI,-1.44,"AnalogDevices,Inc",122.76,2813700,120.81,123.97
AAPL,-2.26,AppleInc,313.05,32388500,310.5,320.45
AMAT,-3.21,"AppliedMaterials,Inc",64.27,9658100,63.63,66.13
ASML,-2.38,ASMLHoldingN.V,306.0,1134600,304.73,310.83
ADSK,-2.3,"Autodesk,Inc",201.91,1774800,199.85,206.27
ADP,-1.21,"AutomaticDataProcessing,Inc",178.58,3538400,177.35,180.43
BIDU,-2.01,"Baidu,Inc",129.8,3095900,128.08,131.55
BIIB,0.02,BiogenInc,336.71,923200,334.6,337.82
BMRN,6.13,BioMarinPharmaceuticalInc,95.16,3084500,89.25,95.64
BKNG,-2.14,BookingHoldingsInc,1928.72,358500,1922.16,1968.1
AVGO,-1.53,BroadcomInc,304.5,2452200,302.29,309.45
CDNS,-2.91,"CadenceDesignSystems,Inc",74.73,1550300,74.18,76.58
CERN,-0.83,CernerCorporation,76.07,1992200,75.71,76.76
CHTR,-0.72,"CharterCommunications,Inc",535.34,1243500,529.24,538.43
CHKP,-1.02,CheckPointSoftwareTechnologiesLtd,116.34,710300,116.05,117.66
CTAS,-1.46,CintasCorporation,293.36,500300,292.24,296.73
CSCO,-1.17,"CiscoSystems,Inc",46.3,20028700,46.05,46.85
CTXS,-2.92,"CitrixSystems,Inc",116.08,1740000,115.84,119.92
CTSH,0.76,CognizantTechnologySolutionsCorporation,70.09,4787100,68.8,70.29
CMCSA,-0.43,ComcastCorporation,45.82,21235400,45.66,46.42
COST,-0.66,CostcoWholesaleCorporation,321.95,2239000,321.03,325.26
CSX,-1.11,CSXCorporation,79.56,3853400,79.46,80.44
DLTR,0.72,"DollarTree,Inc",93.89,2279000,92.4,94.08
EBAY,1.35,eBayInc,38.2,14695200,37.15,38.94
EA,-1.09,ElectronicArtsInc,108.01,2546900,106.8,108.94
EXPE,-1.27,"ExpediaGroup,Inc",120.12,2060400,119.91,121.64
FB,-2.05,"Facebook,Inc",210.18,14092300,208.83,214.24
FAST,-0.41,FastenalCompany,38.86,4124100,38.45,39.18
FISV,-1.93,"Fiserv,Inc",119.49,3563700,118.64,121.79
FOXA,-2.81,FoxCorporation,35.99,5024200,35.75,37.6
FOX,-2.85,FoxCorporation,35.5,1593500,35.48,36.84
GILD,4.03,"GileadSciences,Inc",69.7,22478200,66.81,69.78
HAS,-9.01,"Hasbro,Inc",89.97,3638000,89.86,98.06
HSIC,-2.0,"HenrySchein,Inc",67.54,1781200,67.46,69.55
IDXX,-1.19,"IDEXXLaboratories,Inc",278.11,443300,276.79,281.49
ILMN,-1.5,"Illumina,Inc",295.94,722400,294.79,301.43
INCY,-2.27,IncyteCorporation,80.89,1414000,80.38,82.74
INTC,-1.7,IntelCorporation,64.34,20775900,64.04,65.25
INTU,-1.22,IntuitInc,297.57,1173200,295.37,303.99
ISRG,-0.84,"IntuitiveSurgical,Inc",613.08,734100,606.7,614.93
JBHT,-0.24,"J.B.HuntTransportServices,Inc",109.7,439000,108.45,110.03
JD,-2.56,"JD.com,Inc",40.42,11045400,40.16,41.48
KLAC,-3.69,KLACorporation,161.12,1909900,160.81,166.25
LRCX,-3.56,LamResearchCorporation,316.8,2160600,315.24,327.04
LBTYK,-0.39,LibertyGlobalPlc,20.21,2488000,19.92,20.35
LBTYA,-0.65,LibertyGlobalPlc,21.27,1347900,21.0,21.42
LULU,-2.95,LululemonAthleticaInc,255.9,1587700,253.8,265.1
MAR,-2.45,"MarriottInternational,Inc",143.24,1858100,142.54,145.52
MXIM,-2.02,"MaximIntegratedProducts,Inc",61.17,1433400,61.02,62.3
MELI,-0.94,"MercadoLibre,Inc",735.6,562800,721.49,747.42
MCHP,-2.82,MicrochipTechnologyIncorporated,105.08,2023600,104.6,107.81
MU,-3.41,"MicronTechnology,Inc",56.99,27038900,55.89,58.73
MSFT,-3.16,MicrosoftCorporation,178.59,48572600,177.25,183.5
MDLZ,-0.49,"MondelezInternational,Inc",58.75,5709000,58.65,59.2
MNST,-0.94,MonsterBeverageCorporation,69.74,2973300,69.45,70.2
MYL,1.05,MylanN.V,21.15,4939700,20.68,21.31
NTAP,-3.18,"NetApp,Inc",52.0,3233200,51.86,53.35
NTES,-1.38,"NetEase,Inc",344.99,400600,343.79,350.46
NFLX,-1.54,"Netflix,Inc",380.07,3930100,377.9,387.32
NVDA,-4.74,NVIDIACorporation,294.07,19204500,290.66,305.2
NXPI,-3.19,NXPSemiconductorsN.V,130.5,3521900,129.54,137.12
ORLY,-0.93,"O'ReillyAutomotive,Inc",391.5,642000,389.37,394.21
PCAR,-0.24,PACCARInc,75.36,1938900,74.56,75.52
PAYX,-1.31,"Paychex,Inc",89.05,1838100,88.72,90.04
PYPL,-2.4,"PayPalHoldings,Inc",119.49,5894500,118.53,121.85
PEP,0.48,"PepsiCo,Inc",145.85,4271800,144.81,145.92
QCOM,-2.73,QUALCOMMIncorporated,87.03,12257600,86.33,89.03
REGN,1.0,"RegeneronPharmaceuticals,Inc",403.15,655300,392.86,404.54
ROST,-0.46,"RossStores,Inc",123.24,1316400,122.12,123.87
SIRI,-1.36,SiriusXMHoldingsInc,7.24,16891300,7.23,7.34
SWKS,-2.44,"SkyworksSolutions,Inc",114.63,1894700,113.47,117.0
SBUX,-1.4,StarbucksCorporation,87.36,5800500,87.0,88.39
SNPS,-3.71,"Synopsys,Inc",149.33,2777000,148.16,154.24
TTWO,0.78,"Take-TwoInteractiveSoftware,Inc",116.03,2337300,114.04,116.58
TSLA,0.18,"Tesla,Inc",901.0,14314800,880.45,913.06
TXN,-2.24,TexasInstrumentsIncorporated,128.52,4121000,127.96,130.83
