,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21
ATVI,61.630001068115234,61.189998626708984,62.79999923706055,62.59000015258789,63.52000045776367,63.7400016784668,64.37000274658203,64.0,63.380001068115234
ADBE,370.0,369.2799987792969,374.2900085449219,374.8399963378906,379.6700134277344,378.8500061035156,383.2799987792969,378.9599914550781,372.95001220703125
AMD,52.2599983215332,53.79999923706055,53.88999938964844,54.529998779296875,55.310001373291016,56.88999938964844,58.900001525878906,57.27000045776367,53.279998779296875
ALXN,101.01000213623047,102.45999908447266,105.19000244140625,103.41999816894531,102.55999755859375,102.16000366210938,103.20999908447266,102.54000091552734,103.13999938964844
ALGN,259.0299987792969,264.4599914550781,273.6099853515625,272.9700012207031,274.95001220703125,269.92999267578125,277.1499938964844,272.489990234375,260.260009765625
GOOGL,1508.6600341796875,1510.06005859375,1518.6300048828125,1513.3900146484375,1518.72998046875,1519.43994140625,1524.8699951171875,1516.989990234375,1483.4599609375
GOOG,1508.6800537109375,1508.7900390625,1518.27001953125,1514.6600341796875,1520.739990234375,1519.6700439453125,1526.68994140625,1518.1500244140625,1485.1099853515625
AMZN,2133.909912109375,2150.800048828125,2160.0,2149.8701171875,2134.8701171875,2155.669921875,2170.219970703125,2153.10009765625,2095.969970703125
AAL,28.790000915527344,29.84000015258789,30.469999313354492,30.09000015258789,29.200000762939453,28.6299991607666,28.329999923706055,28.510000228881836,27.81999969482422
AMGN,225.81703186035156,227.34619140625,225.39999389648438,223.0399932861328,223.47999572753906,221.69000244140625,222.9600067138672,222.13999938964844,222.7899932861328
ADI,112.9000015258789,116.87999725341797,118.80999755859375,118.87999725341797,117.6500015258789,118.56999969482422,123.88999938964844,124.55000305175781,122.76000213623047
AAPL,321.54998779296875,319.6099853515625,327.20001220703125,324.8699951171875,324.95001220703125,319.0,323.6199951171875,320.29998779296875,313.04998779296875
AMAT,62.72234344482422,64.2475357055664,65.1646499633789,67.15837097167969,66.63999938964844,65.16000366210938,67.41000366210938,66.4000015258789,64.2699966430664
ASML,309.67999267578125,316.010009765625,317.44000244140625,317.25,316.29998779296875,309.17999267578125,317.3900146484375,313.4700012207031,306.0
ADSK,206.10000610351562,205.8000030517578,207.11000061035156,207.50999450683594,208.9499969482422,207.05999755859375,210.75999450683594,206.6699981689453,201.91000366210938
ADP,179.36000061035156,177.97000122070312,178.02999877929688,180.11000061035156,181.25,179.92999267578125,181.25,180.77000427246094,178.5800018310547
BIDU,131.0500030517578,133.99000549316406,137.49000549316406,135.17999267578125,134.57000732421875,134.17999267578125,135.80999755859375,132.4600067138672,129.8000030517578
BIIB,338.92999267578125,332.2900085449219,331.760009765625,334.25,333.0,337.1000061035156,341.0400085449219,336.6400146484375,336.7099914550781
BMRN,87.66000366210938,88.12000274658203,89.1500015258789,88.23999786376953,89.01000213623047,88.94000244140625,89.87000274658203,89.66000366210938,95.16000366210938
BKNG,1886.6400146484375,1909.300048828125,1960.3599853515625,1959.93994140625,1990.9599609375,1976.280029296875,1968.489990234375,1970.9100341796875,1928.719970703125
AVGO,314.20001220703125,320.1600036621094,324.70001220703125,323.9700012207031,317.7699890136719,310.75,315.69000244140625,309.239990234375,304.5
CDNS,74.62999725341797,75.70999908447266,77.0999984741211,79.25,78.76000213623047,78.58000183105469,80.0199966430664,76.97000122070312,74.7300033569336
CERN,79.62000274658203,80.2300033569336,76.68000030517578,76.48999786376953,77.06999969482422,76.77999877929688,76.76000213623047,76.70999908447266,76.06999969482422
CHTR,530.3400268554688,530.9400024414062,534.0,534.72998046875,534.8900146484375,537.5999755859375,542.4600219726562,539.219970703125,535.3400268554688
CHKP,118.08000183105469,117.87999725341797,119.27999877929688,117.87999725341797,117.0999984741211,116.4000015258789,117.0,117.54000091552734,116.33999633789062
CTAS,292.6199951171875,293.489990234375,297.1199951171875,298.1000061035156,300.8800048828125,302.510009765625,304.260009765625,297.70001220703125,293.3599853515625
CSCO,48.869998931884766,49.130001068115234,49.93000030517578,47.31999969482422,46.970001220703125,46.59000015258789,46.290000915527344,46.849998474121094,46.29999923706055
CTXS,121.81999969482422,121.62000274658203,122.04000091552734,123.0,122.02999877929688,123.51000213623047,122.25,119.56999969482422,116.08000183105469
