,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21
ATVI,61.41999816894531,61.93000030517578,61.5,62.25,62.689998626708984,63.36000061035156,64.0,64.0199966430664,63.81999969482422
ADBE,365.44000244140625,373.0299987792969,370.6400146484375,372.55999755859375,376.2799987792969,380.20001220703125,383.8299865722656,384.0,378.0199890136719
AMD,49.470001220703125,53.220001220703125,54.529998779296875,53.43000030517578,55.189998626708984,54.939998626708984,57.9900016784668,58.439998626708984,56.709999084472656
ALXN,100.13999938964844,101.13999938964844,102.48999786376953,105.30000305175781,104.45999908447266,102.8499984741211,102.37999725341797,102.95999908447266,102.1500015258789
ALGN,257.75,259.510009765625,265.17999267578125,271.1099853515625,274.25,273.0,271.260009765625,277.239990234375,270.79998779296875
GOOGL,1477.22998046875,1513.27001953125,1515.8599853515625,1510.0,1514.530029296875,1514.3399658203125,1527.199951171875,1519.010009765625,1504.5799560546875
GOOG,1474.3199462890625,1511.81005859375,1514.47998046875,1512.68994140625,1515.5999755859375,1515.0,1525.0699462890625,1522.0,1508.030029296875
AMZN,2085.010009765625,2150.89990234375,2163.199951171875,2144.989990234375,2155.679931640625,2125.02001953125,2167.800048828125,2173.070068359375,2142.14990234375
AAL,28.190000534057617,29.059999465942383,30.0,30.030000686645508,30.010000228881836,29.040000915527344,28.84000015258789,28.239999771118164,28.1200008392334
AMGN,228.14999389648438,227.6999969482422,229.47000122070312,224.99000549316406,222.92999267578125,224.14999389648438,222.94000244140625,223.1999969482422,222.24000549316406
ADI,110.91000366210938,113.44999694824219,117.41000366210938,118.2300033569336,119.05000305175781,116.2300033569336,125.05999755859375,124.4000015258789,122.91999816894531
AAPL,314.17999267578125,323.6000061035156,321.4700012207031,324.19000244140625,324.739990234375,315.3599853515625,320.0,322.6300048828125,318.6199951171875
AMAT,61.08000183105469,63.599998474121094,64.93000030517578,66.75,67.45999908447266,64.2300033569336,66.5,67.0,65.91000366210938
ASML,304.0400085449219,313.0400085449219,315.6300048828125,314.95001220703125,317.3699951171875,307.3999938964844,311.1499938964844,315.8500061035156,310.20001220703125
ADSK,207.24000549316406,207.35000610351562,206.75999450683594,206.33999633789062,208.08999633789062,209.47000122070312,209.3300018310547,210.44000244140625,205.0
ADP,178.66000366210938,180.25,178.69000244140625,177.47000122070312,180.16000366210938,181.36000061035156,180.5,180.6699981689453,179.8000030517578
BIDU,129.25999450683594,133.50999450683594,136.72999572753906,135.02000427246094,135.89999389648438,134.02000427246094,134.24000549316406,135.0,131.35000610351562
BIIB,332.0,338.05999755859375,331.6600036621094,329.20001220703125,334.0,343.6600036621094,338.0,342.17999267578125,336.9700012207031
BMRN,86.30000305175781,88.20999908447266,88.23999786376953,88.94999694824219,88.30999755859375,88.45999908447266,89.19000244140625,89.80999755859375,89.9000015258789
BKNG,1901.68994140625,1894.47998046875,1923.949951171875,1944.0,1998.43994140625,1972.25,1982.760009765625,1960.0,1965.0
AVGO,312.3699951171875,316.6499938964844,322.0400085449219,321.4800109863281,324.8399963378906,315.0,313.0,313.9599914550781,308.5
CDNS,73.3499984741211,75.04000091552734,76.0,77.0,79.55999755859375,78.18000030517578,79.0,79.45999908447266,75.95999908447266
CERN,78.47000122070312,80.0,80.5199966430664,76.12000274658203,76.33999633789062,77.12000274658203,76.94000244140625,76.79000091552734,76.47000122070312
CHTR,525.75,531.0,531.489990234375,534.1199951171875,532.489990234375,535.25,539.72998046875,542.010009765625,537.3400268554688
CHKP,116.94000244140625,118.62999725341797,118.61000061035156,118.93000030517578,117.87999725341797,116.41000366210938,116.5999984741211,116.52999877929688,117.02999877929688
CTAS,291.6000061035156,294.0400085449219,294.5199890136719,295.4100036621094,298.7099914550781,300.92999267578125,303.79998779296875,302.510009765625,294.8900146484375
CSCO,47.9900016784668,49.38999938964844,49.43000030517578,47.150001525878906,47.15999984741211,46.81999969482422,46.689998626708984,46.09000015258789,46.72999954223633
CTXS,120.94000244140625,122.41000366210938,122.18000030517578,121.58999633789062,122.87999725341797,121.94000244140625,123.63999938964844,122.13999938964844,119.01000213623047
CTSH,68.88999938964844,69.45999908447266,69.52999877929688,69.26000213623047,69.2699966430664,68.33999633789062,68.37000274658203,68.55999755859375,69.12999725341797
CMCSA,44.63999938964844,44.81999969482422,44.97999954223633,45.900001525878906,46.08000183105469,46.13999938964844,46.220001220703125,45.79999923706055,45.7599983215332
COST,313.760009765625,314.0299987792969,310.7699890136719,314.8500061035156,318.8699951171875,319.0,322.0799865722656,322.32000732421875,322.55999755859375
CSX,77.38999938964844,78.97000122070312,79.08999633789062,79.30000305175781,79.66999816894531,79.36000061035156,79.80000305175781,80.08000183105469,79.88999938964844
DLTR,87.18000030517578,87.30000305175781,88.48999786376953,89.20999908447266,88.88999938964844,88.9000015258789,91.11000061035156,91.91000366210938,92.70999908447266
EBAY,36.18000030517578,36.20000076293945,36.63999938964844,37.04999923706055,37.56999969482422,38.279998779296875,38.029998779296875,37.34000015258789,37.34000015258789
EA,109.0199966430664,108.94999694824219,109.66999816894531,109.1500015258789,108.9000015258789,109.08999633789062,110.0999984741211,108.72000122070312,108.48999786376953
EXPE,109.66000366210938,109.29000091552734,109.81999969482422,110.0,124.05000305175781,122.06999969482422,120.9800033569336,121.19999694824219,120.5
FB,211.52000427246094,210.19000244140625,207.85000610351562,209.52000427246094,214.0,213.5500030517578,217.99000549316406,216.52000427246094,213.47999572753906
FAST,37.15999984741211,37.099998474121094,37.900001525878906,38.150001525878906,38.22999954223633,38.279998779296875,38.369998931884766,38.40999984741211,38.84000015258789
FISV,121.41999816894531,123.80999755859375,120.4800033569336,118.8499984741211,121.12000274658203,122.94999694824219,122.6500015258789,123.30000305175781,121.5199966430664
FOXA,36.869998931884766,37.22999954223633,37.33000183105469,37.529998779296875,38.08000183105469,37.7599983215332,37.93000030517578,37.70000076293945,36.709999084472656
FOX,36.220001220703125,36.849998474121094,36.77000045776367,36.95000076293945,37.529998779296875,37.2599983215332,37.2400016784668,37.18000030517578,36.290000915527344
GILD,69.31999969482422,68.93000030517578,67.5,67.12999725341797,67.41000366210938,67.55999755859375,67.19999694824219,67.26000213623047,67.18000030517578
HAS,99.43000030517578,107.88999938964844,99.9800033569336,97.55999755859375,97.2699966430664,97.48999786376953,97.22000122070312,97.55999755859375,98.04000091552734
HSIC,69.69999694824219,70.26000213623047,70.9800033569336,71.62000274658203,71.58000183105469,72.18000030517578,72.87000274658203,73.0,68.6500015258789
IDXX,277.94000244140625,280.3299865722656,284.2099914550781,283.1600036621094,285.2699890136719,288.3800048828125,288.0,290.2200012207031,280.6400146484375
ILMN,294.3599853515625,296.8999938964844,297.6300048828125,292.6400146484375,292.9200134277344,299.0,301.67999267578125,304.0,300.0
INCY,73.66000366210938,75.27999877929688,76.4000015258789,77.5999984741211,78.01000213623047,79.0,79.69000244140625,82.0,82.27999877929688
INTC,65.55999755859375,66.83000183105469,67.5999984741211,66.98999786376953,67.5199966430664,66.66000366210938,66.38999938964844,67.04000091552734,65.18000030517578
INTU,295.04998779296875,299.8999938964844,297.0,297.2900085449219,298.55999755859375,303.95001220703125,305.5,304.3900146484375,300.6000061035156
ISRG,578.8699951171875,588.6500244140625,591.5700073242188,599.0,601.0,601.3300170898438,596.1400146484375,610.989990234375,612.3599853515625
JBHT,112.19999694824219,112.91999816894531,112.69000244140625,113.18000030517578,114.25,110.06999969482422,110.0999984741211,109.93000030517578,109.54000091552734
JD,40.04999923706055,40.54999923706055,41.56999969482422,41.150001525878906,42.130001068115234,42.41999816894531,42.83000183105469,42.9900016784668,41.470001220703125
KLAC,164.10000610351562,169.2100067138672,174.0,175.67999267578125,179.1199951171875,167.0,172.2100067138672,171.74000549316406,165.6699981689453
LRCX,313.9800109863281,322.8699951171875,328.0,335.04998779296875,341.489990234375,323.239990234375,331.17999267578125,331.95001220703125,326.2200012207031
LBTYK,19.399999618530273,19.479999542236328,20.40999984741211,20.440000534057617,20.079999923706055,19.309999465942383,19.329999923706055,19.739999771118164,20.190000534057617
LBTYA,20.31999969482422,20.389999389648438,21.40999984741211,21.3700008392334,21.149999618530273,20.34000015258789,20.280000686645508,20.530000686645508,21.309999465942383
LULU,244.02000427246094,249.33999633789062,252.11000061035156,253.41000366210938,254.67999267578125,254.00999450683594,261.0,262.92999267578125,263.0
MAR,143.00999450683594,145.8699951171875,148.0399932861328,149.4499969482422,146.97999572753906,144.22999572753906,144.55999755859375,147.52999877929688,145.3800048828125
MXIM,61.9900016784668,63.369998931884766,64.41999816894531,64.2699966430664,64.5999984741211,63.119998931884766,63.0,63.02000045776367,62.04999923706055
MELI,647.0999755859375,633.3099975585938,656.8800048828125,697.8699951171875,720.8699951171875,734.3800048828125,733.760009765625,742.7899780273438,739.8800048828125
MCHP,105.22000122070312,109.0,109.5,109.0199966430664,110.75,108.22000122070312,108.04000091552734,108.7699966430664,107.16999816894531
MU,56.29999923706055,57.880001068115234,59.040000915527344,59.0099983215332,60.15999984741211,57.06999969482422,58.58000183105469,59.880001068115234,58.630001068115234
MSFT,183.5800018310547,190.64999389648438,185.5800018310547,183.0800018310547,183.25,185.61000061035156,188.05999755859375,186.9499969482422,183.1699981689453
MDLZ,58.470001220703125,59.02000045776367,59.08000183105469,58.93000030517578,59.16999816894531,58.959999084472656,59.849998474121094,58.93000030517578,58.849998474121094
MNST,68.81999969482422,69.26000213623047,69.19000244140625,69.25,69.68000030517578,69.43000030517578,69.72000122070312,69.83000183105469,70.0199966430664
MYL,22.670000076293945,22.68000030517578,22.639999389648438,22.09000015258789,21.729999542236328,21.790000915527344,21.280000686645508,20.84000015258789,20.84000015258789
NTAP,56.880001068115234,58.7599983215332,59.45000076293945,53.47999954223633,55.2599983215332,53.970001220703125,53.15999984741211,53.20000076293945,53.25
NTES,341.07000732421875,356.4700012207031,352.7200012207031,347.6700134277344,358.70001220703125,353.010009765625,354.79998779296875,353.5799865722656,350.0
