,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21
ATVI,5279300,5350300,5244200,3642400,4242400,5317900,4865900,4219700,3476700
ADBE,2426800,2004700,2355600,1917100,1690300,2074400,2580400,3789300,2742800
AMD,60971700,74719100,45994900,51640000,52365400,70133200,58597300,74203400,88445100
ALXN,2078100,1409100,3422000,1943700,1577900,2522000,3179600,1652200,1728500
ALGN,766800,591200,863000,545800,732900,639300,524100,584400,791700
GOOGL,1915100,1742600,1552100,1145700,1159900,1282100,1137300,1298100,2126000
GOOG,1419900,1344600,1167600,929500,1197800,1120700,949300,1096600,1731700
AMZN,5056200,5746000,3334300,3031800,2606200,2945600,2561200,3131300,4646300
AAL,15134300,8977700,9315400,9119400,5524800,10485100,8400700,10093400,11253600
AMGN,2144700,1934500,2501300,1946500,1611900,1936400,1322900,1638000,2047500
ADI,1813900,2765500,1856000,2391100,1869000,3074300,4598900,3062400,2813700
AAPL,27337200,23580800,28432600,23686900,20028400,38132800,23496000,25141500,32388500
AMAT,5121100,6203800,11592200,21742700,8104000,10208500,8502600,7535900,9658100
ASML,373000,789900,656100,742200,661400,757100,1093900,1118400,1134600
ADSK,1557000,1289700,1177200,897500,996900,1342500,1569900,1527300,1774800
ADP,2153800,1584200,2622500,1913900,1566500,1512200,1651500,1501600,3538400
BIDU,3326700,3546100,3636600,3150300,1697400,2817000,2118400,3662400,3095900
BIIB,1867000,1806200,1603000,1307300,1023200,1515100,1488400,1497800,923200
BMRN,605300,781400,848400,532700,780300,737200,647600,764000,3084500
BKNG,470200,408900,473200,388800,535900,363500,241300,359200,358500
AVGO,1921800,1552700,1531000,1385700,1913700,2669300,2052500,2552100,2452200
CDNS,1302900,1419600,1932800,3253100,1329700,1540000,2212000,2394200,1550300
CERN,1686200,3099000,2907100,2038300,3081400,1910000,1880200,1555900,1992200
CHTR,1252900,1098100,891300,709400,658200,739500,1041500,1049400,1243500
CHKP,597200,807100,815900,986200,576700,960500,705300,739200,710300
CTAS,385000,263100,417100,442100,263800,386600,296000,585100,500300
CSCO,19012700,23168300,31686200,47044700,26747200,18546300,27626400,20416700,20028700
CTXS,1618800,1006300,1036000,867900,1257200,1915100,1273100,1384700,1740000
CTSH,3077000,3036000,2629700,2827000,4148300,3218200,3612800,3641300,4787100
CMCSA,15016100,11075700,23638000,17913100,15930600,13694500,14814400,12037800,21235400
COST,2336300,2047500,1384600,1438000,1113400,1547100,1413600,1427500,2239000
CSX,3284600,2978400,2761600,2443800,2341700,2735000,2251800,2241900,3853400
DLTR,1201900,1708200,1370600,1200400,1690300,2078300,2154500,1979500,2279000
EBAY,11638100,9380300,11499100,7317900,10998300,15223600,7598300,8940300,14695200
EA,2170800,1195300,1567200,1627000,1227500,2171400,1540000,4034000,2546900
EXPE,2039300,2065300,2656800,3732300,10382900,3219000,3216900,2184400,2060400
FB,11856400,25030800,13813700,15396600,10741700,15609200,12135100,13109200,14092300
FAST,4827800,4432200,2477500,2270800,2745900,2287800,1706000,3301400,4124100
FISV,2742900,3231200,4050300,3207600,2796500,2899500,3636700,3285100,3563700
FOXA,3212900,2550300,3303300,2034800,2349600,2065400,1839300,5305700,5024200
FOX,1442000,926900,907700,1059400,750500,965600,674100,1605200,1593500
GILD,24347800,12858700,13927100,8031000,9109100,9904700,7754000,8697200,22478200
HAS,1118600,4045500,2776300,1374000,936900,1160400,1124100,1340000,3638000
HSIC,604600,497600,830400,870700,645900,1893300,1646500,3952500,1781200
IDXX,348200,293100,314500,283900,286800,455300,734100,696500,443300
ILMN,1219500,3528500,1871800,2215300,1494500,813600,1339000,698100,722400
INCY,849700,985500,2120000,2227400,1370200,1209900,1895400,2653300,1414000
INTC,22299300,17975600,15586600,11602700,13405500,12758400,13551200,26452600,20775900
INTU,1139800,903500,792300,721200,855300,888200,791600,900900,1173200
ISRG,403000,431000,466000,753900,637100,542800,737800,636600,734100
JBHT,523500,435500,451600,583100,923100,670200,348000,615400,439000
JD,7225300,11347100,15260500,15308700,9165900,11851700,10717700,13569100,11045400
KLAC,1680300,1269000,957700,1158000,864800,1778300,1069300,1664400,1909900
LRCX,1088400,1520700,1687200,2110200,1109900,2749400,1539600,1887800,2160600
LBTYK,2545200,3449900,1863200,2105800,2864700,3833600,2678200,3202100,2488000
LBTYA,1674500,1478800,1138000,1641500,1668600,1807900,1144500,2768900,1347900
LULU,1192100,1014700,658100,905300,950700,1273700,908000,1518400,1587700
MAR,1169800,1461300,1583400,1933900,2441200,2352800,2018000,1279600,1858100
