,2020-02-18,2020-02-19,2020-02-20,2020-02-21
ATVI,63.36000061035156,64.0,64.0199966430664,63.81999969482422
ADBE,380.20001220703125,383.8299865722656,384.0,378.0199890136719
AMD,54.939998626708984,57.9900016784668,58.439998626708984,56.709999084472656
ALXN,102.8499984741211,102.37999725341797,102.95999908447266,102.1500015258789
ALGN,273.0,271.260009765625,277.239990234375,270.79998779296875
GOOGL,1514.3399658203125,1527.199951171875,1519.010009765625,1504.5799560546875
GOOG,1515.0,1525.0699462890625,1522.0,1508.030029296875
AMZN,2125.02001953125,2167.800048828125,2173.070068359375,2142.14990234375
AAL,29.040000915527344,28.84000015258789,28.239999771118164,28.1200008392334
AMGN,224.14999389648438,222.94000244140625,223.1999969482422,222.24000549316406
ADI,116.2300033569336,125.05999755859375,124.4000015258789,122.91999816894531
AAPL,315.3599853515625,320.0,322.6300048828125,318.6199951171875
AMAT,64.2300033569336,66.5,67.0,65.91000366210938
ASML,307.3999938964844,311.1499938964844,315.8500061035156,310.20001220703125
ADSK,209.47000122070312,209.3300018310547,210.44000244140625,205.0
ADP,181.36000061035156,180.5,180.6699981689453,179.8000030517578
BIDU,134.02000427246094,134.24000549316406,135.0,131.35000610351562
BIIB,343.6600036621094,338.0,342.17999267578125,336.9700012207031
BMRN,88.45999908447266,89.19000244140625,89.80999755859375,89.9000015258789
BKNG,1972.25,1982.760009765625,1960.0,1965.0
AVGO,315.0,313.0,313.9599914550781,308.5
CDNS,78.18000030517578,79.0,79.45999908447266,75.95999908447266
CERN,77.12000274658203,76.94000244140625,76.79000091552734,76.47000122070312
CHTR,535.25,539.72998046875,542.010009765625,537.3400268554688
CHKP,116.41000366210938,116.5999984741211,116.52999877929688,117.02999877929688
CTAS,300.92999267578125,303.79998779296875,302.510009765625,294.8900146484375
CSCO,46.81999969482422,46.689998626708984,46.09000015258789,46.72999954223633
CTXS,121.94000244140625,123.63999938964844,122.13999938964844,119.01000213623047
CTSH,68.33999633789062,68.37000274658203,68.55999755859375,69.12999725341797
CMCSA,46.13999938964844,46.220001220703125,45.79999923706055,45.7599983215332
COST,319.0,322.0799865722656,322.32000732421875,322.55999755859375
CSX,79.36000061035156,79.80000305175781,80.08000183105469,79.88999938964844
DLTR,88.9000015258789,91.11000061035156,91.91000366210938,92.70999908447266
EBAY,38.279998779296875,38.029998779296875,37.34000015258789,37.34000015258789
EA,109.08999633789062,110.0999984741211,108.72000122070312,108.48999786376953
EXPE,122.06999969482422,120.9800033569336,121.19999694824219,120.5
FB,213.5500030517578,217.99000549316406,216.52000427246094,213.47999572753906
FAST,38.279998779296875,38.369998931884766,38.40999984741211,38.84000015258789
FISV,122.94999694824219,122.6500015258789,123.30000305175781,121.5199966430664
FOXA,37.7599983215332,37.93000030517578,37.70000076293945,36.709999084472656
FOX,37.2599983215332,37.2400016784668,37.18000030517578,36.290000915527344
GILD,67.55999755859375,67.19999694824219,67.26000213623047,67.18000030517578
HAS,97.48999786376953,97.22000122070312,97.55999755859375,98.04000091552734
HSIC,72.18000030517578,72.87000274658203,73.0,68.6500015258789
IDXX,288.3800048828125,288.0,290.2200012207031,280.6400146484375
ILMN,299.0,301.67999267578125,304.0,300.0
INCY,79.0,79.69000244140625,82.0,82.27999877929688
INTC,66.66000366210938,66.38999938964844,67.04000091552734,65.18000030517578
INTU,303.95001220703125,305.5,304.3900146484375,300.6000061035156
ISRG,601.3300170898438,596.1400146484375,610.989990234375,612.3599853515625
JBHT,110.06999969482422,110.0999984741211,109.93000030517578,109.54000091552734
JD,42.41999816894531,42.83000183105469,42.9900016784668,41.470001220703125
KLAC,167.0,172.2100067138672,171.74000549316406,165.6699981689453
LRCX,323.239990234375,331.17999267578125,331.95001220703125,326.2200012207031
LBTYK,19.309999465942383,19.329999923706055,19.739999771118164,20.190000534057617
LBTYA,20.34000015258789,20.280000686645508,20.530000686645508,21.309999465942383
LULU,254.00999450683594,261.0,262.92999267578125,263.0
MAR,144.22999572753906,144.55999755859375,147.52999877929688,145.3800048828125
MXIM,63.119998931884766,63.0,63.02000045776367,62.04999923706055
MELI,734.3800048828125,733.760009765625,742.7899780273438,739.8800048828125
MCHP,108.22000122070312,108.04000091552734,108.7699966430664,107.16999816894531
MU,57.06999969482422,58.58000183105469,59.880001068115234,58.630001068115234
MSFT,185.61000061035156,188.05999755859375,186.9499969482422,183.1699981689453
MDLZ,58.959999084472656,59.849998474121094,58.93000030517578,58.849998474121094
MNST,69.43000030517578,69.72000122070312,69.83000183105469,70.0199966430664
MYL,21.790000915527344,21.280000686645508,20.84000015258789,20.84000015258789
NTAP,53.970001220703125,53.15999984741211,53.20000076293945,53.25
NTES,353.010009765625,354.79998779296875,353.5799865722656,350.0
NFLX,379.29998779296875,388.1199951171875,386.55999755859375,385.3299865722656
NVDA,285.6400146484375,301.489990234375,312.7699890136719,304.19000244140625
NXPI,134.41000366210938,134.91000366210938,134.3300018310547,134.58999633789062
ORLY,393.2300109863281,394.9599914550781,391.1499938964844,393.29998779296875
PCAR,74.56999969482422,74.37000274658203,74.16999816894531,75.0
PAYX,89.3499984741211,89.72000122070312,90.29000091552734,89.94999694824219
PYPL,122.58000183105469,122.62999725341797,123.86000061035156,121.72000122070312
PEP,147.11000061035156,145.6199951171875,145.77000427246094,145.05999755859375
QCOM,87.83000183105469,88.91999816894531,90.80999755859375,88.55999755859375
REGN,396.82000732421875,397.8599853515625,399.8999938964844,396.07000732421875
ROST,121.58000183105469,122.95999908447266,122.83999633789062,123.26000213623047
SIRI,7.190000057220459,7.21999979019165,7.28000020980835,7.329999923706055
SWKS,116.06999969482422,118.08000183105469,118.77999877929688,116.8499984741211
SBUX,89.37000274658203,89.48999786376953,89.7300033569336,88.0
SNPS,164.00999450683594,165.24000549316406,159.05999755859375,153.52000427246094
TTWO,113.23999786376953,114.0999984741211,113.33999633789062,114.69999694824219
TSLA,841.5999755859375,923.5,911.9500122070312,906.97998046875
TXN,131.10000610351562,132.89999389648438,132.61000061035156,130.75999450683594
KHC,26.770000457763672,27.360000610351562,27.270000457763672,27.200000762939453
TMUS,96.8499984741211,101.16000366210938,100.0999984741211,98.97000122070312
ULTA,295.4599914550781,299.8999938964844,296.04998779296875,299.760009765625
UAL,79.0,80.94000244140625,79.30000305175781,79.4000015258789
VRSN,209.39999389648438,210.88999938964844,210.27000427246094,207.72000122070312
VRSK,170.8000030517578,165.47999572753906,168.8699951171875,168.69000244140625
VRTX,244.9199981689453,249.85000610351562,247.2899932861328,247.3000030517578
WBA,52.40999984741211,51.81999969482422,52.06999969482422,51.86000061035156
WDC,67.72000122070312,68.9800033569336,69.5999984741211,68.4800033569336
WLTW,214.02000427246094,213.38999938964844,211.4600067138672,208.5
WDAY,196.8800048828125,200.39999389648438,196.0,190.0
WYNN,132.22999572753906,134.50999450683594,134.22999572753906,131.50999450683594
XEL,70.62999725341797,70.94000244140625,70.73999786376953,70.72000122070312
XLNX,88.61000061035156,90.37999725341797,90.55999755859375,89.13999938964844
