Date,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,DLTR,EBAY,EA,EXPE,FB,FAST,FISV,FOXA,FOX,GILD,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LRCX,LBTYK,LBTYA,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MDLZ,MNST,MYL,NTAP,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SNPS,TTWO,TSLA,TXN,KHC,TMUS,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDC,WLTW,WDAY,WYNN,XEL,XLNX
2019-02-19,17261600,3475600,57517900,1169700,830300,1099000,1046400,3681700,6436100,2267500,3722200,18972800,12353100,900500,1758600,1354800,3155800,946800,974100,338400,1515200,3014800,1445400,1231300,1057000,362200,20204500,1187400,3955700,12853500,1938100,4707900,1936400,12312100,10882700,1410200,14345400,5358200,3371300,,,6396200,1550300,2288300,484200,929000,1149300,15611800,1398700,668500,1054300,12430900,6295900,1551600,2683200,1344500,2451500,2625600,1563900,488900,1591000,25575900,18038500,7861200,3420300,2566300,3253900,1313100,7396600,13797300,2694900,632000,1566000,1651500,8092400,5596100,8258400,397800,2225300,27747900,1409500,9208400,905300,1857100,4168400,3188000,7443900,3672800,1038300,2224200,559000,1090000,1823700,6374600,4801200,560400,1347200,1732500,3388000,3153000
2019-02-20,21193200,2484800,57091600,1758200,1191300,1204500,1087800,3337600,6969900,3046400,4811700,26114400,9575900,600400,1175500,1622000,4040500,859900,1232400,322200,1615000,4325400,1384000,2112300,799200,263900,17550900,2208100,3171400,14970400,1785600,3863600,2205700,11698700,10649100,951600,11770700,4776200,2884500,,,5679800,1307200,4887800,515000,854300,1224800,21607700,1904400,564500,732700,13209200,3022400,2197200,2286800,1410400,1396900,3337600,1115600,399200,3153500,28048700,21607700,10711200,2736200,3233500,3043500,1119200,8110700,13524700,4072400,521600,1291700,1974700,8154100,6038900,12863700,411100,2358100,27607900,2341300,9671800,1376500,6564200,7142100,3692800,7048900,4476900,527000,3151000,613400,1422400,1066300,7882400,4728200,625400,1846600,2036300,5765600,1848800
2019-02-21,16645300,2607400,49608200,1019700,1073900,1663600,1415100,3483400,5900700,2947600,3518500,17249700,7178800,712700,1050500,1309200,4202800,1441200,1015200,414100,1325400,2478100,1572600,933700,663600,297800,17120600,1710700,4739000,22082200,1615300,3255300,1017200,8151600,8104300,1161700,15607800,3786200,4173200,,,5607900,960400,3789200,651600,617000,950400,16162100,2289200,572100,999400,13542600,2604800,1914100,2328200,1178400,977300,2893000,1695000,427100,2086000,24048800,29063200,6209200,2856100,2727300,3055100,2689300,6227900,11213700,4865800,455500,1685700,1605700,6410000,4825900,7826200,406600,1624600,23096700,1818100,10933500,3043200,2758800,8909200,3933500,10117900,4561200,671500,2132500,539400,907400,1087000,4482200,3785100,745800,1335300,2071500,2946500,3614900
2019-02-22,13074700,2006000,52650700,1221500,803100,1471800,1049500,3096200,5393300,2774100,2248000,18913200,8149300,495600,948800,1608800,9233500,1030000,2367500,385800,2722500,3291100,1622900,1261600,438900,292600,22008100,1541500,5585400,20376900,1542500,2756400,1997100,6820600,11617000,1190800,15858500,2578800,2206700,,,4925500,1745900,2341900,420500,545200,1208600,31934100,3333700,564700,1464900,27113300,4037600,2710300,1377300,1216400,966400,2085700,1274200,304700,1603400,22834300,27763200,12798800,2560000,4018800,2757400,1270300,7088200,10043500,3496600,480000,1744800,1731100,4898000,4865400,13394500,386600,1602600,21142700,2319900,11311600,1895300,2436900,5740600,4392900,135204800,2522000,580700,1907600,509900,752200,1027400,4928700,4822700,855600,1305000,2904700,2650400,4027400
2019-02-25,12317100,1815800,63221000,1574500,1442100,1310400,1413100,3184500,10905900,3182600,3987500,21873400,8064800,737200,1976500,1560900,5832300,839000,2540100,454100,1924500,2281900,1658900,1094400,996900,321400,24264300,2060900,4105300,16212000,1794000,5131300,2163700,10147800,7046600,1444000,18737100,2266800,3975500,,,7090500,959300,1443000,492800,635200,1650500,20711800,2876900,502500,936000,29338500,1611800,1838000,1919200,1586200,1216900,2325100,1350000,548300,2363200,25233700,23750600,10070500,2430000,4930100,2407400,1420000,7569300,16400500,5013400,756200,1416600,1748000,7470700,3755900,15341700,660400,1826400,17138800,1976200,12071200,950300,2700700,6626500,5750200,47394300,2400400,546300,2395000,788300,543700,1268800,4308200,7755200,890600,1930000,1944400,3453300,4261500
2019-02-26,9194200,2538900,48470100,1396600,1298700,1751300,1471300,2665800,7565000,2431000,2083400,17070200,6159300,660600,1576000,1400600,4829400,742900,847700,366000,2721100,2224000,1822500,1118100,903700,302300,19382500,1835200,3629200,18127700,1884100,6866800,2621500,12788000,8701100,1639600,13784100,2916400,3071500,,,5957800,906200,1995200,427100,962400,755000,16082200,1306900,457000,757800,20278800,1447900,1506300,3001000,3285100,1469000,1979200,1259600,781200,1722800,18051500,21536700,7475300,1785100,8246000,2481400,684200,4944600,12211600,4286800,863900,2008600,1218900,5906400,4074600,11366700,611100,2022100,32548000,1118200,12302300,743000,2040400,8582500,3740100,36361600,2915400,508100,4089400,437200,702100,1478000,3498700,4017500,734600,2075500,1643900,4351300,3762100
2019-02-27,8494200,2266800,62649300,1131400,1182200,1104600,968400,3148800,5874900,1886200,2617100,27835400,14038500,387900,1530900,1479000,3705100,598500,939000,750600,2914600,2088200,1800100,1354700,796700,327900,19940900,1375400,5050400,17534900,1482700,3600900,2892500,10571100,5207600,1628500,12697500,4129600,2595200,,,7645100,1408300,2632100,279000,720300,1000000,17590300,1524800,502300,461100,22994200,2096900,1758600,2504300,2176800,1146300,2168600,1667600,2625300,3954000,29522200,21487100,8153400,5123400,25114700,2329600,524600,5629900,12506400,4966200,666200,1976200,1276600,5565400,4175100,10426200,598800,2659600,18664300,1468400,13274800,533600,3680800,11183900,4395800,28284100,2742600,642900,2466700,355300,500000,633200,3959900,6893900,688300,1487600,1700000,2662200,3580600
2019-02-28,12255200,3810300,39384900,1556100,1076500,1371100,1542500,3025900,7873800,2776200,3212300,28215400,9785100,318500,2233300,2241300,3412200,752900,851300,1989800,3146000,2166000,3220300,1035000,873800,441100,30708500,2078500,3699300,18315300,2055600,5183100,2551600,7462700,5695000,2602400,11114200,3798600,2595400,,,7227300,2428600,3103100,630100,1611900,1056400,18388800,1677800,761800,807700,66593100,1604000,1659700,3203600,2302100,1234600,3312900,2056500,1136500,2855200,25777900,29083900,8498500,10474100,11487100,2706000,758300,6186800,8123600,2358100,799100,2311600,1924200,6151800,5586300,19000200,518000,2685900,29616200,1577900,18956700,1139000,3722000,10520700,5465800,39658300,3072600,756400,2300000,671800,588600,1194700,7775000,11059300,861200,2936800,1943900,4506300,3967900
2019-03-01,9422400,2594000,48084000,1445900,1417400,1704300,1450300,4974900,8654000,2409400,2821400,25886200,7852900,389800,3836700,1773300,2656200,906100,831500,1248100,1903500,1717600,3031100,1219000,887900,392200,23683700,2261800,2947800,24117200,2178200,4905500,2153400,17271800,4443600,1330900,11097800,5577400,3614600,,,6002500,1880700,1692700,520200,1095400,1086600,18359300,1943100,757300,685900,37083600,1273800,1513600,2618900,1805100,1671900,4407900,1993700,1408300,2061900,26755800,23501200,8114500,3850300,8121800,3123600,1287400,5526500,8929700,4001100,575800,2206300,1952400,5434000,3629100,12659000,511000,1997500,21448800,1391200,8067700,790100,2028100,22911400,4164200,20796800,1883600,554000,3699400,499600,740900,887600,10298900,7738100,629300,5545300,2215300,3626100,4202000
2019-03-04,12128500,2994900,48147700,1502200,1930200,1774500,1446000,6167400,6998100,2274800,2518100,27436200,20810700,558300,4197500,3966800,4323000,1046900,1087300,1043400,1738200,2447500,2701000,1386700,703300,382900,18725900,2484600,3278400,15970400,2444700,4144500,1945100,11304000,7187200,1262700,18894700,4397400,3128300,,,8409600,1375100,1606400,637600,1368800,1481200,21706100,1447400,502700,883500,23454400,1366900,2278100,1971400,1125700,1450000,2095100,1801700,724700,1638700,27047800,26608000,9588000,3585800,10434100,3514000,883500,7487000,10249800,2251000,701100,2366300,2658300,7855800,4383100,14021700,769300,1755200,30363000,1554800,9219700,1153800,2110200,17096800,3278500,19256700,2439400,832700,4094500,506600,962700,1208600,10870500,8319100,927300,6069900,1869800,3425400,6249200
2019-03-05,7536600,2101800,35462600,1030300,3432900,2004700,1443200,3681500,7405700,3445200,2843100,19737400,12449100,258700,2193300,2914000,5799400,1020400,715900,619600,2169900,2237400,1664000,1000900,730200,541100,14994200,1941300,2112900,14946000,2160200,3800400,2565600,12174400,6041900,1235000,28187900,3069800,1958800,,,7405400,711600,1747100,609700,632200,915800,21057700,1357500,382800,1435500,19982900,1445200,2575600,1803800,994700,983300,1797400,2801900,705400,1823000,28798800,19538300,8406500,5124400,7548700,2173900,957900,5937800,9073100,2272900,557100,2230100,1659400,6321900,3785400,10092800,478300,3723000,26987000,1529500,10496100,917500,1371600,18764700,4008600,13556300,1725600,963200,2848200,541500,768600,1409100,11956100,6344600,5299300,3371400,1389100,5051600,2395200
2019-03-06,12535200,1950500,60479400,1241700,2318500,1180100,1099300,3996000,6420800,3956100,2028000,20810400,12557800,499300,1803500,1643000,5133300,1007800,938200,621400,1997300,1917900,3000800,990100,766900,436100,19686900,1594100,2691000,11051900,1985300,5379100,10496200,10885400,3987500,1363100,21531700,2697800,2133600,,,9442500,662700,1037800,506800,783200,818700,14740500,800400,513800,1078800,21316900,1715000,3012400,1362600,886100,805300,1644400,2349400,448100,1813700,44890400,17687000,5660900,4753400,7698000,2663600,676300,6211900,10088100,2962700,500300,2494600,1710900,3226500,4770700,20521300,812300,4341600,21437400,1248900,7666100,902300,1342900,10335500,3568000,8978600,4375400,711400,2544100,576200,420900,1381000,15392500,7915800,1429800,1438000,1452900,2894200,2020600
2019-03-07,10470600,3185200,52186300,1667100,1645200,1504300,1166600,4957000,7112400,3421700,2507000,24796400,9831700,648300,3167600,2915300,3247900,1078700,957700,598900,2541100,2166800,2878800,842600,632100,574800,22209200,2116100,5296300,14176700,3279100,5960500,5266000,14928000,8866800,1912600,18306500,4318400,3320900,,,7618500,1230300,3897200,432600,1220400,980600,17803000,960700,713200,916700,20959500,1716200,2446700,2072800,1290300,1465100,2043300,2747900,1317200,2133700,31567800,25339000,8070100,5391900,4374600,2334700,773000,6151300,11252600,6070100,423000,2102700,2599200,6170100,4858300,13667300,1020800,3599800,31818300,1501800,7814700,1032500,1700400,9442500,5431000,15205600,2309300,877900,4565700,581300,524900,1432900,9695800,8877700,771700,1867400,2331700,3235800,3678000
2019-03-08,8735200,2195400,49967700,1194300,1357800,1184700,1212400,4667000,6200500,2750900,4791700,23999400,8174400,415700,1692100,1928100,2635000,1602100,701100,773200,2216700,1835900,2572800,701500,529900,473900,18182200,7005700,3912500,13652900,6782700,5604600,2332400,16417000,7357900,1242500,13184800,3771400,2230300,,,7639700,808400,2496600,712200,944600,869400,16793900,1080600,558100,1357600,28554000,1404600,1943900,2907200,1613200,2785400,2261300,2897700,588300,1802300,34080900,22818400,6699800,2963200,4461500,2011200,628000,6898800,10560400,3961600,489000,1858200,1580100,4577700,5003300,10117100,1091700,3061900,22651300,1113100,12363900,1075100,2370300,8819600,5180800,12460800,3573400,863800,2316800,412000,471700,1451500,9909500,5320900,698800,1616700,1242500,3514600,4712000
2019-03-11,9451100,2711700,54420200,1306400,1528700,1501600,1719200,3876400,8944000,2816900,2884100,32011000,7199500,609900,2074600,1817100,2176600,1491700,633000,681200,2716100,1988000,3701500,1401900,828700,736200,17859300,2769700,3159200,25653900,3748400,4423500,2199700,15306400,4623500,1633500,18884000,1680500,2948500,,,5207900,979900,1963400,506400,697400,1256400,18963000,1467700,516700,1049900,21410800,1446200,2029700,3164600,2067900,2086500,2193300,2059400,1142800,1348800,25164700,26491600,6326200,4192700,4653100,2186100,628100,5387300,21493200,3117300,501500,1800800,1727400,5387500,4821600,10738800,874200,2375200,21243900,1134100,11518300,1475700,2267500,7392300,3319800,12449900,2493100,905900,5140500,397100,552400,1350700,5638000,6309900,454400,1987800,1293200,2946700,4118100
2019-03-12,6474800,2583500,56410600,1561000,1592500,2111000,2013100,3614500,10887500,2677500,2392000,32467600,6267600,509000,1418600,1796500,1833000,1332200,669500,699300,2332400,2021500,2687700,1572400,1160100,486000,19485300,3126600,3622700,21376100,2647100,5575800,1885700,10660900,3737600,1534400,12155300,1361000,3561800,10000.0,,5235600,1181400,983900,417900,965200,758500,20782100,1326200,519300,712700,18551100,1407300,1635400,3025000,2853900,2090100,2185300,2648600,1488500,1115000,18623500,26132700,5856600,5498600,4512200,2379900,512200,5164600,14489400,2006800,514300,2261600,1922600,5624500,4356400,9575300,839700,2115400,43652700,1296400,12751700,1426400,2329900,7504100,3047200,10361500,2773200,779100,6055300,608800,606900,1545300,5638400,4828400,556400,1681100,1839100,2595400,2761400
2019-03-13,7774200,3992500,56705800,1066800,1085800,1294400,1435900,3552000,11092900,2719700,1814100,31032500,6404400,418500,2143600,1539300,2432200,1107200,934800,680900,3208900,2088400,2629500,1916400,677900,542700,20568000,2757600,3926900,21550400,2421200,4749800,1746500,13247800,6980000,1284800,11973300,1663700,3577700,20477400.0,306000.0,6276300,1016500,1118600,480600,700100,1137800,25522300,1374100,479200,809600,13941500,1616000,2158500,1741300,1137800,1309800,3071900,3435100,3285300,2493100,22786300,35513800,6289700,3893000,7292800,3108600,786500,6444100,19222500,1525500,573200,2979900,1844600,9356600,5968600,9198900,988800,2007500,32468800,1766100,13798600,1784000,7636700,6844700,3911100,8688600,1920400,796800,3450300,595400,849500,1202300,5720000,6010200,497400,1820700,1185500,2720800,2778400
