Date,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,DLTR,EBAY,EA,EXPE,FB,FAST,FISV,FOXA,FOX,GILD,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LRCX,LBTYK,LBTYA,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MDLZ,MNST,MYL,NTAP,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SNPS,TTWO,TSLA,TXN,KHC,TMUS,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDC,WLTW,WDAY,WYNN,XEL,XLNX
2019-12-23,4395800,2210600,55886500,1504000,543800,996800,883100,2136400,9291100,1686200,1565700,24643000,5840900,424900,903600,1139900,2440300,1542200,1105400,219600,2025400,1619900,1009500,1225600,720100,624600,20253500,1000800,2020300,22609300,1309800,3807200,2413900,5397900,1622600,2543300,13348900,2679300,1451400,3712100,1149200,7038200,772500,1167200,515000,1000700,2324000,23593000,1411500,411200,623800,14699200,969100,1160900,3109500,906400,1453000,863600,1485000,264800,1660900,23693800,17718200,7173500,2485200,5726100,1693000,413300,5765300,8876500,2897500,362200,1151700,1998700,4659000,2992900,7274700,431200,1470800,14027600,2269700,4349700,1073200,818200,13319600,3095000,6822800,1709400,996600,1905900,435900,555400,1132800,4813200,5355800,622200,1518300,1604300,4148100,2982400
2019-12-24,1562900,1066400,44432200,403900,200000,673400,347500,881300,2373600,612800,487800,12119700,1624100,219500,256200,350200,889400,433700,339000,97300,702400,436500,281900,463700,179300,141700,7044700,520900,622600,6504700,543600,862300,952900,2129200,606100,1684700,6046300,810200,532100,1940700,347100,1965800,190200,290700,196700,364100,526400,6313200,417100,279600,164100,3206300,257700,386600,538900,334900,613600,668300,473100,109000,458700,8621900,8989200,1833800,660200,1731000,541900,257400,2019300,3471600,958500,127900,330300,422500,1680000,1220600,2435200,221500,535700,5279200,1095900,1847800,417800,857500,8054700,1403400,1594400,470100,534400,771100,145100,159500,300500,1475400,1932900,103400,369100,472100,956900,1236100
2019-12-26,2325500,1055100,57562800,909800,258500,1183100,667500,6005400,4746500,1098300,912600,23280300,2960600,191300,634400,1713700,1628500,738200,593200,182600,1584800,668500,653600,752900,480600,269800,11091700,597300,1709400,12019600,1101800,1678000,1615100,4081900,1676500,1847900,9350700,1834000,1888900,3699200,696700,3527400,533000,564900,205900,865900,1057700,11480300,691600,331500,252800,4385200,527900,622000,2554400,782200,1790500,691100,714200,175000,930500,13537400,14520600,3565400,1638500,4547200,1210500,834300,3589900,4571300,972500,242200,513200,821000,4049900,2934700,5070000,451900,1033000,9272400,1472600,4177700,539400,839600,10633900,2339900,3957800,1240900,776800,1039700,256100,303600,697000,2736100,2323300,222700,1013100,978500,1324900,1464100
2019-12-27,3386200,1229800,36581300,1167800,332200,1160600,1038400,6186600,8416500,1085000,1360900,36566500,3314500,317000,645200,821400,2167100,677100,689700,280000,1448700,900600,727000,507500,489100,289200,11056800,698600,1507800,12272100,1439100,2050900,2768300,6606900,1163400,1647100,10284200,1738000,1563700,1969000,832800,4463900,458200,571300,303900,441600,1296300,14085800,637900,429100,333500,5158400,553900,608200,10114800,909600,1515700,629800,838000,309200,642800,17176700,18412800,4229300,2265000,4754400,1130300,376900,5036100,6366100,1011500,256700,692400,958300,3379600,2554000,5808900,293000,895600,9165600,1414100,4129300,533400,543800,9945700,1800600,4089700,1310000,744500,1402100,248500,686700,904600,3647600,3178700,261100,1136300,1401900,1931200,1730100
2019-12-30,3028500,1896700,41149700,1036400,429500,999700,1050900,3674700,4940300,1454400,1107300,36028600,3566400,338900,999200,867100,2216700,873200,835300,224700,1310400,845700,1278300,702500,679900,302300,12128600,599400,1607500,12896900,1238900,1892200,3409500,6535800,1758400,1555600,10524300,1393000,1656000,3039600,894000,5864300,521400,764400,318100,854800,733000,12750500,995500,377700,295600,6830700,756400,850600,2644200,1104900,1204300,820300,953500,333900,1133300,15271500,16348400,3104000,1655300,4534900,1548000,342600,4311500,6451400,935300,297800,784900,970900,3769200,3024700,6543100,369200,1415400,12093100,1277700,4655600,613200,587800,12586400,2283700,3856500,2342000,652900,1799900,310500,590400,774300,3264500,3250100,226800,1179600,3063000,1717700,1663500
2019-12-31,3437800,1592300,31673200,1162700,548700,975700,961800,2506500,4396800,1748300,963500,25201400,3878200,298900,760300,903000,1863900,810100,851400,226900,1248700,1538700,1110800,757100,534600,369600,14892600,655200,2035800,13881700,1550700,2079500,1873500,7437700,1436200,1824500,8953500,2141900,2370900,2315400,988400,6984700,530800,758300,400700,461600,929800,14432900,1007900,448100,448200,4815600,869400,915400,1716000,937100,943200,1186100,1456100,445200,1546900,13296400,18369400,5039500,1670900,5154700,1727100,342300,3713300,5775100,957800,390500,1046000,1034200,4080500,3229400,5173400,494600,1576000,12060900,1171300,4115600,732900,613700,10285700,2813300,6069400,1714900,773800,2073700,460400,549000,1036400,3305100,3850300,323700,822400,1142600,2136900,1672400
2020-01-02,5189400,1990100,80331100,1466000,789700,1363900,1406600,4029000,6451100,2088000,1279300,33870100,6647900,573600,1515000,1364600,8001400,1178300,1128800,329000,2032900,1410700,2472300,1378800,982700,544200,16708100,1352600,2234500,20170500,2103600,2830100,2191500,4979300,1901000,3481200,12077100,4190300,5197700,4500700,1153800,5038200,1043200,987600,445500,813900,1679600,18056000,1124500,541000,623100,22688700,1056900,1506400,1992500,946100,1449300,1905600,2274200,589200,4858900,20173200,22622100,7272900,1783000,8870500,1670000,1374400,4485800,5938400,2247900,796100,1731400,1307000,7418800,3784100,8413900,512400,1722500,15984400,2351900,6473800,1095100,1114200,9532100,4614000,6008700,3392700,1182300,2769800,369400,845100,1334300,5700500,6669500,465800,1503000,3006500,2915400,3234100
2020-01-03,4466300,1577600,73127400,1316000,488800,1170400,1186400,3764400,14008900,1879000,1374400,36580700,5415200,410800,737900,1000100,5184800,700100,867300,294000,2287000,1317600,1451600,974100,661000,493100,15577400,1107000,2535700,20496400,1926000,3326300,2102600,3960900,1840300,2027100,11188400,4101300,2834000,4035800,940300,4689700,708100,663400,399100,1346100,5529300,15293900,798500,418700,535200,16929900,833400,962200,1417300,769500,1315400,2116900,2021400,320900,10014900,16815800,21116200,6791700,1741100,7957300,1429800,657500,3806900,5134600,1546100,482900,1604700,964700,7098300,4000100,8340300,500800,1486500,24579200,2339000,4874100,834800,729100,17778500,4057200,5012700,1831900,921300,3562900,912100,876900,943400,4892300,3958000,411400,1276300,1760500,2422500,3521900
2020-01-06,4910800,1874700,47934900,1661300,775700,2338400,1732300,4061800,6105800,1802800,1979400,29596800,8586000,617600,1021900,1205900,3930700,1271000,1200900,384000,2078900,1544700,1617100,829900,728700,409200,22183600,1046700,3017000,17628200,2655100,4878800,3431600,5866000,2934200,2218300,17058900,4135200,2114800,2433100,792600,8248700,779400,696300,579000,760800,2817200,17755200,1026100,524800,928700,9740100,1266800,1340500,2751200,1448400,1460700,2178200,2222600,209700,2015800,18768700,20813700,5906400,2234600,9540600,1005400,559200,5663100,6565900,2157900,837100,1798800,1196700,6764500,4085100,8381400,690800,1573600,18958600,3177000,5409800,924800,1678700,10133000,4345400,4714700,2675300,880500,2652700,615700,656200,1436600,6003300,4085900,620200,1623300,1357900,2217100,2832700
2020-01-07,4920300,2500800,58061400,2991600,522900,1716500,1502700,4044900,6105900,1518900,2214700,27218000,7970400,477700,897200,1878900,4535800,1034000,1074800,345300,1856500,1664600,957100,1050800,981500,388400,16501900,933700,2952900,24563700,1963400,4786900,2969000,6867400,1692400,1813100,14912400,3108300,2397800,3254000,955700,8082600,984900,790700,418400,789100,1536000,21876100,915100,1171700,614500,10131300,1139300,1559500,2095700,1565200,1367900,2073200,2342600,480900,6701400,49908200,21634100,6716300,3367800,8041200,1575000,515400,4703200,7871400,2595500,661500,1740800,1361200,6898700,5718100,8377400,736400,1961900,20560600,2055800,6514700,701100,1179300,17882100,7184100,7165700,3262400,1157500,2581300,418600,1514700,1027700,4365700,11090300,443200,2404100,1722100,1861100,3050000
