symbol,change,name,price,volume,high,low
ATVI,4.23,"ActivisionBlizzard,Inc",60.59,9481700,57.91,60.65
ADBE,4.39,AdobeInc,360.28,5042044,342.61,360.75
AMD,4.35,"AdvancedMicroDevices,Inc",47.46,102324726,44.6601,47.68
ALXN,2.27,"AlexionPharmaceuticals,Inc",96.16,2727159,90.48,96.48
ALGN,5.44,"AlignTechnology,Inc",230.22,1325200,212.94,230.49
GOOGL,3.51,AlphabetInc,1386.3199,2766800,1325.2,1387.47
GOOG,3.72,AlphabetInc,1389.11,2431468,1326.8149,1390.41
AMZN,3.73,"Amazon.com,Inc",1953.95,6744500,1870.0,1954.51
AAL,-1.0,AmericanAirlinesGroupInc,18.86,38737996,17.51,19.0597
AMGN,6.24,AmgenInc,212.2,4245000,198.71,212.37
ADI,2.04,"AnalogDevices,Inc",111.27,3860921,107.24,111.44
AAPL,9.31,AppleInc,298.81,85160300,277.72,301.44
AMAT,3.51,"AppliedMaterials,Inc",60.16,10795212,57.0,60.19
ASML,3.9,ASMLHoldingN.V,287.49,1081300,275.47,287.49
ADSK,-0.03,"Autodesk,Inc",190.83,2698908,183.37,191.97
ADP,5.34,"AutomaticDataProcessing,Inc",163.0,3194691,154.24,163.09
BIDU,0.66,"Baidu,Inc",120.77,6238790,117.83,122.94
BIIB,6.32,BiogenInc,327.89,2364903,307.83,328.2
BMRN,4.46,BioMarinPharmaceuticalInc,94.4,1770072,90.16,94.54
BKNG,1.97,BookingHoldingsInc,1728.98,869405,1651.755,1732.92
AVGO,4.53,BroadcomInc,284.97,3197647,271.155,285.4
CDNS,3.36,"CadenceDesignSystems,Inc",68.36,2628755,65.01,68.38
CERN,4.74,CernerCorporation,72.55,3179800,69.22,72.59
CHTR,0.8,"CharterCommunications,Inc",497.13,2850274,490.34,500.7
CHKP,0.31,CheckPointSoftwareTechnologiesLtd,104.12,1652984,101.7,104.9
CTAS,4.82,CintasCorporation,279.6,1058100,264.47,279.76
CSCO,3.11,"CiscoSystems,Inc",41.17,48834800,38.92,41.19
CTXS,5.21,"CitrixSystems,Inc",108.78,3897100,103.79,108.97
CTSH,0.66,CognizantTechnologySolutionsCorporation,61.33,5676800,58.82,61.35
CMCSA,5.17,ComcastCorporation,42.52,40005000,39.4,42.53
