symbol,change,name,price,volume,high,low
ATVI,2.57,"ActivisionBlizzard,Inc",62.765,4795152,61.55,63.12
ADBE,1.33,AdobeInc,374.19,1780244,367.205,374.31
AMD,0.18,"AdvancedMicroDevices,Inc",53.895,44073229,53.54,54.84
ALXN,2.67,"AlexionPharmaceuticals,Inc",105.2,1940834,101.57,105.2
ALGN,3.55,"AlignTechnology,Inc",273.855,764027,265.815,276.05
GOOGL,0.55,AlphabetInc,1518.36,1286558,1509.2,1520.31
GOOG,0.67,AlphabetInc,1518.86,1063130,1508.25,1520.5
AMZN,0.38,"Amazon.com,Inc",2158.895,3092902,2155.78,2179.59
AAL,2.09,AmericanAirlinesGroupInc,30.465,8862129,30.02,30.775
AMGN,-0.69,AmgenInc,227.37,1899344,225.94,229.96
ADI,1.65,"AnalogDevices,Inc",118.81,1541522,117.29,118.99
AAPL,2.36,AppleInc,327.16,26314061,321.62,327.2
AMAT,1.41,"AppliedMaterials,Inc",65.36,9286553,64.75,65.655
ASML,0.45,ASMLHoldingN.V,317.42,649129,315.25,317.6
ADSK,0.63,"Autodesk,Inc",207.105,923385,205.71,207.58
ADP,0.03,"AutomaticDataProcessing,Inc",178.015,2572263,176.945,178.88
BIDU,2.71,"Baidu,Inc",137.62,3611552,134.735,138.35
BIIB,-0.17,BiogenInc,331.72,1510443,329.05,334.28
BMRN,1.13,BioMarinPharmaceuticalInc,89.12,816310,87.955,89.295
BKNG,2.69,BookingHoldingsInc,1960.65,462927,1912.06,1966.785
AVGO,1.4,BroadcomInc,324.63,1267459,321.63,324.88
CDNS,1.88,"CadenceDesignSystems,Inc",77.13,1873767,75.86,77.21
CERN,-4.42,CernerCorporation,76.68,2613204,76.37,80.115
CHTR,0.56,"CharterCommunications,Inc",533.91,670599,529.59,535.14
CHKP,1.21,CheckPointSoftwareTechnologiesLtd,119.31,742407,118.32,119.605
CTAS,1.26,CintasCorporation,297.18,349239,293.23,297.89
CSCO,1.67,"CiscoSystems,Inc",49.95,28184432,49.41,50.265
CTXS,0.33,"CitrixSystems,Inc",122.02,883436,121.37,122.59
CTSH,0.38,CognizantTechnologySolutionsCorporation,69.46,2262048,69.05,69.655
CMCSA,2.76,ComcastCorporation,46.025,23162759,44.91,46.13
COST,1.42,CostcoWholesaleCorporation,315.08,1159702,311.12,315.415
CSX,1.23,CSXCorporation,79.485,2281384,78.465,79.5
DLTR,1.54,"DollarTree,Inc",89.545,1161182,88.28,89.63
EBAY,1.93,eBayInc,37.145,11026861,36.64,37.495
EA,0.6,ElectronicArtsInc,109.69,1509432,108.76,109.975
EXPE,1.58,"ExpediaGroup,Inc",110.92,2404718,109.755,111.06
FB,1.71,"Facebook,Inc",210.74,11943192,207.425,211.16
FAST,1.36,FastenalCompany,38.335,1940941,37.995,38.39
FISV,-1.32,"Fiserv,Inc",119.12,3296683,119.01,120.99
FOXA,1.4,FoxCorporation,37.65,2108003,37.255,37.7
